scene_id,scene_col,scene_row,lat,lon,class_id,class_name,conf,box_w_px,box_h_px,chip_row_off,chip_col_off,final_label,crs_used,ais_matched,ais_mmsi,ais_length_m,ais_category,ais_fishing_score,ais_dist_deg
05bc615a9b0e1159t,18751.2041015625,16022.537658691406,42.10589813459137,18.935053648157275,1,dark,0.53074,10.2,10.5,15552,18432,Cooperative,EPSG:32634,True,319113100.0,69.60801,other,0.1988055,8e-05
05bc615a9b0e1159t,19271.264923095703,18135.46502685547,41.916824668155634,19.00387253840935,1,dark,0.51198,14.3,13.7,17856,19008,Cooperative,EPSG:32634,True,636015775.0,143.43452,cargo,0.012883,0.00016
05bc615a9b0e1159t,15297.912384033203,18149.28436279297,41.90625626655701,18.52517308319929,0,cooperative,0.4807,9.1,9.2,17856,14976,Cooperative,EPSG:32634,True,201110999.0,25.285475,unmatched,0.8817215,0.00011
05bc615a9b0e1159t,15297.437438964844,18553.44048309326,41.869887326547655,18.526520006261872,0,cooperative,0.44308,9.4,9.4,18432,14976,Cooperative,EPSG:32634,True,201100095.0,27.250254,unmatched,0.8653934999999999,2e-05
05bc615a9b0e1159t,15722.806854248049,16097.080688476562,42.092017611733134,18.569334516778447,0,cooperative,0.43098,8.2,8.5,15552,15552,Cooperative,EPSG:32634,True,230094970.0,18.996532,unmatched,0.9513435,0.00017
05bc615a9b0e1159t,17018.00994873047,18109.166564941406,41.91414818884516,18.73226711824065,0,cooperative,0.37264,8.9,9.0,17856,16704,Cooperative,EPSG:32634,True,215000405.0,24.5402,passenger,0.9413065,5e-05
05bc615a9b0e1159t,22130.059051513672,15592.063362121582,42.15127815042011,19.34251425993213,0,cooperative,0.35681,9.5,9.3,15552,21888,Suspicious,EPSG:32634,False,,,,,
05bc615a9b0e1159t,14649.590942382812,16773.60807800293,42.02832548628431,18.44213132215436,0,cooperative,0.35622,9.0,8.8,16704,14400,Cooperative,EPSG:32634,True,262018200.0,31.456253000000004,unmatched,0.8867149999999999,4e-05
05bc615a9b0e1159t,11468.8564453125,12003.614379882812,42.44815394116405,18.038358635428505,0,cooperative,0.34117,9.5,9.0,11520,10944,Cooperative,EPSG:32634,True,238921940.0,23.221209,fishing,0.935055,3e-05
05bc615a9b0e1159t,15879.61572265625,16257.701202392578,42.0779640455817,18.588826858742785,0,cooperative,0.33985,7.9,8.0,16128,15552,Cooperative,EPSG:32634,True,201110027.0,14.734362,fishing,0.9594875,0.00013
05bc615a9b0e1159t,3608.104705810547,4632.499938964844,43.0817381674406,17.042425644347393,1,dark,0.31581,11.2,11.0,4032,3456,Cooperative,EPSG:32634,True,667001655.0,68.677376,cargo,0.1132465,0.0001
05bc615a9b0e1159t,15515.64697265625,19210.558837890625,41.811318378313175,18.55504387710352,0,cooperative,0.31476,8.2,8.4,19008,14976,Cooperative,EPSG:32634,True,238196740.0,19.326506,unmatched,0.9413065,0.00067
05bc615a9b0e1159t,14448.739280700684,16794.83723449707,42.02587234053387,18.41797017452928,0,cooperative,0.29839,8.7,8.7,16704,14400,Cooperative,EPSG:32634,True,201000140.0,22.715086,fishing,0.941095,0.00014
05bc615a9b0e1159t,11608.360000610352,12099.21942138672,42.43999203594191,18.05570336034365,0,cooperative,0.2756,8.2,8.0,11520,11520,Cooperative,EPSG:32634,True,238019940.0,23.83385,fishing,0.918767,0.00014
05bc615a9b0e1159t,8235.041580200195,15228.356872558594,42.147395909981135,17.66111136580209,0,cooperative,0.19002,7.9,8.0,14976,8064,Suspicious,EPSG:32634,False,,,,,
05bc615a9b0e1159t,12610.826110839844,16440.976470947266,42.052498584148736,18.194811322787945,1,dark,0.18675,8.1,8.2,16128,12096,Cooperative,EPSG:32634,True,215000223.0,32.14969,passenger,0.71086,0.00012
05bc615a9b0e1159t,12740.514707565308,11127.403869628906,42.530859294071874,18.1892765828372,0,cooperative,0.16773,10.0,9.2,10944,12672,Cooperative,EPSG:32634,True,319135400.0,31.675043,passenger,0.7656885,1e-05
05bc615a9b0e1159t,7795.925048828125,15814.626251220703,42.09312838025432,17.610872095297236,0,cooperative,0.14918,10.3,10.1,15552,7488,Suspicious,EPSG:32634,False,,,,,
05bc615a9b0e1159t,13579.691314697266,16712.75,42.03084901101574,18.312794423450097,1,dark,0.14879,9.2,9.3,16128,13248,Cooperative,EPSG:32634,True,232026167.0,24.276876,passenger,0.8669264999999999,6e-05
05bc615a9b0e1159t,7184.295166015625,9175.728454589844,42.687720094884746,17.504043889428186,0,cooperative,0.12498,13.4,12.9,8640,6912,Suspicious,EPSG:32634,False,,,,,
05bc615a9b0e1159t,13417.342788696287,14496.84733581543,42.22973898146042,18.284696738039276,0,cooperative,0.11741,8.6,8.4,14400,13248,Cooperative,EPSG:32634,True,238151240.0,19.017946,other,0.943199,0.00018
05bc615a9b0e1159t,16134.361168384552,18691.34313964844,41.85960443812217,18.62774143353809,0,cooperative,0.10997,9.5,9.6,18432,16128,Suspicious,EPSG:32634,False,,,,,
05bc615a9b0e1159t,5113.414306640625,6880.079345703125,42.88602111263756,17.239289962087017,0,cooperative,0.09567,8.9,8.8,6336,4608,Suspicious,EPSG:32634,False,,,,,
05bc615a9b0e1159t,23732.045669555664,1457.524658203125,43.426365277818185,19.50604195949421,0,cooperative,0.07875,8.9,8.9,1152,23616,Suspicious,EPSG:32634,False,,,,,
05bc615a9b0e1159t,2818.34375,15857.514465332031,42.069940706736176,17.010547590368507,0,cooperative,0.07423,8.9,9.2,15552,2304,Suspicious,EPSG:32634,False,,,,,
05bc615a9b0e1159t,4360.026428222656,20643.27667236328,41.6461601959398,17.22192357074233,0,cooperative,0.07016,20.7,20.1,20160,4032,Suspicious,EPSG:32634,False,,,,,
05bc615a9b0e1159t,2670.799194335937,5024.724487304688,43.042471174834375,16.929899695275736,0,cooperative,0.06922,17.1,17.3,4608,2304,Suspicious,EPSG:32634,False,,,,,
05bc615a9b0e1159t,3999.239379882813,7164.526672363281,42.85590574600205,17.104767205433216,0,cooperative,0.06866,8.1,8.0,6912,3456,Suspicious,EPSG:32634,False,,,,,
05bc615a9b0e1159t,10363.182373046877,11758.353729248049,42.46665876779322,17.903008358712142,0,cooperative,0.06784,8.2,8.1,11520,9792,Cooperative,EPSG:32634,True,238791640.0,21.170116,fishing,0.935055,7e-05
05bc615a9b0e1159t,21076.413330078125,15275.819213867188,42.17783374197044,19.21424588835913,0,cooperative,0.0556,10.0,9.9,14976,20736,Suspicious,EPSG:32634,False,,,,,
05bc615a9b0e1159t,16748.967407226562,18291.88247680664,41.89705948931192,18.70044098344234,0,cooperative,0.04927,9.3,9.1,17856,16128,Cooperative,EPSG:32634,True,215000405.0,24.5402,passenger,0.9413065,0.03608
